EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0526,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,ELECTRICAL PARAMETRIC TEST
valid_0527,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,PACKAGE PREPARATION
valid_0528,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,CLEAN AFTER METAL ETCH,MEASURE CD LEVEL 1
valid_0529,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER METAL ETCH
valid_0530,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,DEPOSIT PASSIVATION,METAL ETCH DRY
valid_0531,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,PACKAGE PREPARATION
valid_0532,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEPOSIT BACKSIDE PROTECTION,CLEAN PAD OPENING,BACKSIDE THINNING CHECK
valid_0533,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN,MEASURE CD LEVEL 1
valid_0534,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEPOSIT BACKSIDE PROTECTION,FINAL CLEAN,BACKSIDE THINNING CHECK
valid_0535,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,DEPOSIT PASSIVATION LAYER
valid_0536,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEPOSIT BACKSIDE PROTECTION,IMPLANT N-TYPE,FINAL CLEAN
valid_0537,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE LINE WIDTH,DEPOSIT TUNGSTEN SEED
valid_0538,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,PARAMETRIC TEST
valid_0539,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT N BUFFER
valid_0540,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH
valid_0541,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,EXPOSE LITHO LEVEL 3,MEASURE FILM THICKNESS
valid_0542,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,CLEAN AFTER METAL ETCH,IMPLANT N-TYPE
valid_0543,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,CLEAN AFTER VIA ETCH,DIELECTRIC ETCH VIA
valid_0544,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,BACKSIDE THINNING CHECK,IMPLANT N-TYPE
valid_0545,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,PACKAGE PREPARATION
valid_0546,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,PARAMETRIC TEST
valid_0547,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,DIELECTRIC ETCH VIA
valid_0548,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,PARAMETRIC TEST
valid_0549,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,FILL VIA TUNGSTEN,DEPOSIT BARRIER METAL,SWITCHING TEST
valid_0550,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT BACKSIDE PROTECTION,METAL PATTERN INSPECTION,CMP METAL
valid_0551,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH
valid_0552,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,EXPOSE LITHO LEVEL 4
valid_0553,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,MEASURE LINE WIDTH
valid_0554,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,CLEAN AFTER METAL ETCH
valid_0555,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,HARD BAKE,METAL ETCH DRY
valid_0556,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE LINE WIDTH,FINAL GEOMETRY CHECK,METAL ETCH DRY
valid_0557,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,DIELECTRIC ETCH VIA
valid_0558,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,DEPOSIT BARRIER METAL
valid_0559,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0560,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,SWITCHING TEST,BACKSIDE ETCH CLEAN,MEASURE PASSIVATION QUALITY
valid_0561,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0562,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,METAL ETCH DRY
valid_0563,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH
valid_0564,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH,METAL ETCH DRY
valid_0565,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,OXIDE ETCH DRY
valid_0566,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,CLEAN AFTER METAL ETCH,STRIP PHOTORESIST,METAL ETCH DRY
valid_0567,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0568,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,CLEAN AFTER METAL ETCH
valid_0569,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0570,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,CURE PASSIVATION,METAL PATTERN INSPECTION
valid_0571,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,EXPOSE LITHO LEVEL 3,DEPOSIT INTERLEVEL DIELECTRIC
valid_0572,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,FINAL GEOMETRY CHECK,CLEAN AFTER METAL ETCH,STRIP PHOTORESIST
valid_0573,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0574,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,STRIP PHOTORESIST,IMPLANT N-TYPE
valid_0575,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,CLEAN AFTER VIA ETCH,DIELECTRIC ETCH VIA
valid_0576,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,CURE PASSIVATION,METAL PATTERN INSPECTION
valid_0577,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,DIELECTRIC ETCH VIA
valid_0578,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,CURE PASSIVATION
valid_0579,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0580,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,SWITCHING TEST,EXPOSE LITHO LEVEL 4,CLEAN AFTER METAL ETCH
valid_0581,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER FIELD ETCH
valid_0582,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,EXPOSE LITHO LEVEL 4,CLEAN AFTER METAL ETCH,BACKSIDE ETCH CLEAN
valid_0583,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,DIELECTRIC ETCH VIA,HARD BAKE,POLYSILICON ETCH DRY
valid_0584,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE LINE WIDTH,FINAL GEOMETRY CHECK,DEPOSIT BACKSIDE PROTECTION
valid_0585,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,EXPOSE LITHO LEVEL 3,OXIDE ETCH DRY
valid_0586,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,IMPLANT LDD,CLEAN AFTER METAL ETCH
valid_0587,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0588,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,CLEAN AFTER METAL ETCH,METAL ETCH DRY,MEASURE LINE WIDTH
valid_0589,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,DEPOSIT BARRIER METAL,ELECTRICAL PARAMETRIC TEST
valid_0590,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,DEPOSIT PASSIVATION,ELECTRICAL PARAMETRIC TEST
valid_0591,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0592,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE LINE WIDTH,CLEAN AFTER METAL ETCH,STRIP PHOTORESIST
valid_0593,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,OXIDE ETCH DRY,EXPOSE LITHO LEVEL 3
valid_0594,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,CLEAN AFTER METAL ETCH,SWITCHING TEST
valid_0595,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER POLY ETCH
valid_0596,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,PARAMETRIC TEST
valid_0597,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER POLY ETCH
valid_0598,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,METAL ETCH DRY
valid_0599,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,CLEAN PAD OPENING
valid_0600,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,CLEAN AFTER METAL ETCH
